START_STATION,AVG_RIDE_COUNT
Karlov Ave & Madison St,7.43
Latrobe Ave & Chicago Ave,7.29
Ashland Ave & 74th St,7.27
Michigan Ave & 114th St,7.17
Damen Ave & 51st St,7.06
South Chicago Ave & 83rd St,7.05
Stewart Ave & 63rd St,7.00
Michigan Ave & 71st St,7.00
Evans Ave & 75th St,6.91
Oglesby Ave & 100th St,6.87
Indiana Ave & 103rd St,6.74
Halsted St & 96th St,6.71
Vincennes Ave & 104th St,6.63
Halsted St & 104th St,6.61
Constance Ave & 95th St,6.59
Dauphin Ave & 103rd St,6.58
Kedzie Ave & 110th St,6.33
Halsted St & 51st St,6.32
Calumet Ave & 71st St,6.32
Ashland Ave & Garfield Blvd,6.26
Bennett Ave & 79th St,6.26
Halsted St & 56th St,6.23
May St & 69th St,6.22
Kilbourn & Belden,6.07
Ada St & 113th St,6.00
Seeley Ave & Garfield Blvd,5.94
Cicero Ave & Quincy St,5.83
Eberhart Ave & 131st St,5.80
Elizabeth St & 47th St,5.79
Throop St & 52nd St,5.74
Kostner Ave & Lake St,5.71
Halsted St & 78th St,5.67
Milwaukee Ave & Fullerton Ave,5.64
Long Ave & Belmont Ave,5.63
Halsted St & 69th St,5.60
Ashland Ave & 78th St,5.55
Altgeld Gardens,5.50
Halsted St & 73rd St,5.46
Oak Park & Wellington,5.39
Mason Ave & Belmont Ave,5.39
Plainfield & Irving Park,5.33
Narragansett & Wrightwood,5.33
Halsted St & 111th St,5.32
Kilbourn & Roscoe,5.32
Wentworth Ave & 104th St,5.29
Hegewisch Metra Station,5.28
Ashland Ave & 66th St,5.26
Cicero Ave & Flournoy St,5.23
Vernon Ave & 107th St,5.13
Laramie Ave & Gladys Ave,5.06
Kostner Ave & Wrightwood Ave,5.00
W 103rd St & S Avers Ave,4.86
Meade Ave & Addison St,4.74
MLK Jr Dr & 83rd St,4.71
Lawndale Ave & 30th St,4.71
Lamon Ave & Armitage Ave,4.71
Kilpatrick Ave & Parker Ave,4.71
Nordica & Medill,4.68
Rhodes Ave & 71st St,4.63
Wabash Ave & 83rd St,4.61
Mulligan Ave & Wellington Ave,4.50
Oketo Ave & Addison St,4.50
Spaulding Ave & 16th St,4.50
Marshfield Ave & 59th St,4.44
Torrence Ave & 106th St,4.22
Lamon Ave & Belmont Ave,4.11
Vincennes Ave & 75th St,4.00
Malcolm X College,4.00
Narragansett Ave & School St,3.94
Elston Ave & George St,3.94
Rockwell St & Fletcher St,3.81
Albany Ave & Belmont Ave,3.79
Lavergne & Fullerton,3.78
Central Ave & Roscoe St,3.76
Elizabeth St & 59th St,3.60
Racine Ave & 65th St,3.54
Lawler Ave & 50th St,3.50
Lincoln Ave & Balmoral Ave,3.50
Torrence Ave & 126th Pl,3.44
Central Park Ave & Douglas Blvd,3.41
Central Ave & Parker Ave,3.40
Greenwood Ave & 91st St,3.35
Orange & Addison,3.33
DIVVY CASSETTE REPAIR MOBILE STATION,3.33
Meade Ave & Diversey Ave,3.33
Homan Ave & Fillmore St,3.26
Tripp Ave & 65th St,3.25
Racine Ave & 61st St,3.24
Kedzie Ave & George St,3.24
Narragansett & Irving Park,3.21
Tripp Ave & 31st St,3.20
Woodlawn Ave & 75th St,3.20
Troy St & Grace St,3.19
Harlem & Irving Park,3.19
Halsted St & 59th St,3.12
Long Ave & Belden Ave,3.07
Keeler Ave & Roosevelt Rd,3.06
Menard Ave & Division St,3.00
Kedzie Ave & 52nd St,3.00
Francisco Ave & Hollywood Ave,3.00
Roscoe & Harlem,2.83
Kedzie Ave & 57th St,2.82
Panama Ave & Grace St,2.82
South Chicago Ave & Elliot Ave,2.78
Major Ave & Bloomingdale Ave,2.75
Sayre & Diversey,2.67
California Ave & Winona St,2.67
State St & 76th St,2.65
Elston Ave & Henderson St,2.64
Western Ave & Gunnison St,2.64
Spaulding Ave & 63rd St,2.63
Bloomingdale Ave & Harlem Ave,2.62
